XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
705380.50743565,4008240.91379765,1,2,1,26.8616084103482
705354.52110998,4008234.33821538,2,1,1,26.8616084103482
705551.17314632,4008347.20096764,3,4,2,0.733347838392542
705551.33410520,4008347.91643342,4,3,2,0.733347838392542
705551.33410520,4008347.91643342,4,13,578895,13.5517565198274
702484.34612457,4008385.27146677,5,6,3,25.2517258281991
702484.34612457,4008385.27146677,5,15,8,135.973345713359
702459.09480054,4008385.12901659,6,5,3,25.2517258281991
702459.09480054,4008385.12901659,6,34,17,779.243521612237
702860.43869511,4008386.49994765,7,8,4,35.2436723096119
702860.43869511,4008386.49994765,7,9,5,48.3540282443364
702860.43869511,4008386.49994765,7,12,6,20.5464681770642
702850.77338247,4008355.84186725,8,7,4,35.2436723096119
702906.38585657,4008371.65223220,9,7,5,48.3540282443364
702840.59333548,4008391.82151282,12,7,6,20.5464681770642
702840.59333548,4008391.82151282,12,21,12,213.126527075762
705550.80788462,4008361.45796940,13,14,7,136.03879418271
705550.80788462,4008361.45796940,13,4,578895,13.5517565198274
705656.16325900,4008412.58970643,14,13,7,136.03879418271
702608.52725654,4008433.86828042,15,5,8,135.973345713359
702608.52725654,4008433.86828042,15,17,9,22.5758999937812
702628.62123884,4008444.15920537,17,15,9,22.5758999937812
702628.62123884,4008444.15920537,17,19,10,21.4407974109334
702648.24053726,4008452.80737992,19,17,10,21.4407974109334
702648.24053726,4008452.80737992,19,21,11,12.250213221363
702659.44350933,4008457.76329968,21,19,11,12.250213221363
702659.44350933,4008457.76329968,21,12,12,213.126527075762
704622.82144079,4008526.16204926,25,26,13,46.8775624519125
704622.82144079,4008526.16204926,25,27,14,66.6218098353775
704622.82144079,4008526.16204926,25,32,16,482.107784689545
704580.81987651,4008522.66703390,26,25,13,46.8775624519125
704681.06486770,4008493.81751698,27,25,14,66.6218098353775
703336.86157644,4008494.04849057,29,30,15,429.890236214424
703046.19826224,4008411.40207443,30,29,15,429.890236214424
704165.22371765,4008642.28573475,32,25,16,482.107784689545
701820.37714144,4008694.21689717,34,6,17,779.243521612237
701820.37714144,4008694.21689717,34,36,18,38.0709811387451
701800.64054329,4008726.77248500,36,34,18,38.0709811387451
701800.64054329,4008726.77248500,36,39,21,214.222910225921
703971.35116424,4008674.49690998,37,38,19,541.83738994396
703552.48898076,4008555.36672306,38,37,19,541.83738994396
701620.10862897,4008741.82071125,39,40,20,22.2664673778465
701620.10862897,4008741.82071125,39,36,21,214.222910225921
701598.26598765,4008737.49698718,40,39,20,22.2664673778465
701598.26598765,4008737.49698718,40,46,23,815.308794034412
705673.72689235,4008423.52871112,43,44,22,1108.43094065751
705868.08751358,4008922.73744365,44,43,22,1108.43094065751
701140.17823301,4009275.12639303,46,40,23,815.308794034412
701140.17823301,4009275.12639303,46,48,24,1722.89593315324
701140.17823301,4009275.12639303,46,50,25,729.283494574301
702156.17724380,4009578.14287724,48,46,24,1722.89593315324
700861.30777001,4009875.56005635,50,46,25,729.283494574301
700861.30777001,4009875.56005635,50,52,26,90.0036495589192
700844.14108115,4009963.91141020,52,50,26,90.0036495589192
700844.14108115,4009963.91141020,52,54,27,11.3585466640478
700842.33540883,4009975.12551426,54,52,27,11.3585466640478
700842.33540883,4009975.12551426,54,56,28,19.6285196963126
700837.60557670,4009994.17564479,56,54,28,19.6285196963126
700837.60557670,4009994.17564479,56,60,30,2147.10469684187
706267.28140721,4010090.07275323,57,58,29,268.112034274286
706195.92534308,4010332.66589949,58,57,29,268.112034274286
699387.13162228,4011315.61048537,60,56,30,2147.10469684187
699387.13162228,4011315.61048537,60,62,31,52.4468511376338
699348.68537842,4011351.28342369,62,60,31,52.4468511376338
699348.68537842,4011351.28342369,62,68,34,1144.31234552939
706147.90806019,4010634.55275932,63,64,32,1029.4052531653
706096.73482034,4011582.19540267,64,63,32,1029.4052531653
706072.96323744,4011647.75801795,65,66,33,113.346930000554
706038.40443411,4011743.07370985,66,65,33,113.346930000554
698438.26103162,4011920.72019425,68,62,34,1144.31234552939
698438.26103162,4011920.72019425,68,70,35,181.899010081589
698438.26103162,4011920.72019425,68,72,36,232.623824288976
698272.58957344,4011994.21334504,70,68,35,181.899010081589
698419.90466491,4012148.09932075,72,68,36,232.623824288976
698419.90466491,4012148.09932075,72,74,37,32.3736173680164
698406.57060679,4012177.59938847,74,72,37,32.3736173680164
698406.57060679,4012177.59938847,74,76,38,18.6758374965969
698396.80150528,4012193.51640960,76,74,38,18.6758374965969
698396.80150528,4012193.51640960,76,78,39,285.940192877831
698175.78625038,4012353.97503301,78,76,39,285.940192877831
698175.78625038,4012353.97503301,78,80,40,23.7741350614363
698154.42524879,4012364.41136900,80,78,40,23.7741350614363
698154.42524879,4012364.41136900,80,82,41,264.378984614745
697926.93560454,4012267.72722976,82,80,41,264.378984614745
697623.96959089,4012464.01438617,83,84,42,16.9226355310462
697614.75607356,4012478.20898697,84,83,42,16.9226355310462
697614.75607356,4012478.20898697,84,86,43,130.261975420747
697566.97165448,4012597.03880127,86,84,43,130.261975420747
697566.97165448,4012597.03880127,86,88,44,30.9727996992738
697573.55951719,4012627.30287876,88,86,44,30.9727996992738
697573.55951719,4012627.30287876,88,90,45,293.033978746167
697488.04279420,4012829.09357903,90,88,45,293.033978746167
697488.04279420,4012829.09357903,90,92,46,32.1442634700435
697455.89957202,4012829.35231002,92,90,46,32.1442634700435
697455.89957202,4012829.35231002,92,94,47,414.768701971702
697100.56411946,4012971.11692046,94,92,47,414.768701971702
697100.56411946,4012971.11692046,94,96,48,18.046745871837
697083.13124659,4012975.78382307,96,94,48,18.046745871837
697083.13124659,4012975.78382307,96,102,51,545.141905062795
